epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,139.67,1.17175,1.91698,1.54775,0.94472,1,0.995,0.6965,1.44822,5.2559,2.63879,0.000168279,0.000168279,0.000168279
18,146.379,1.65281,1.80501,1.56476,0.94472,1,0.995,0.6965,1.44822,5.2559,2.63879,0.000174788,0.000174788,0.000174788
19,154.102,1.26537,2.00995,2.00283,0.5578,1,0.995,0.6965,1.27581,4.01643,2.24637,0.000180826,0.000180826,0.000180826
20,161.5,1.58027,2.30075,1.64516,0.5578,1,0.995,0.6965,1.27581,4.01643,2.24637,0.000186392,0.000186392,0.000186392
21,169.336,1.58991,1.83991,1.83949,0.19826,1,0.4975,0.2189,1.17678,5.22603,1.94568,0.000191486,0.000191486,0.000191486
22,176.746,1.93333,2.93049,1.72389,0.19826,1,0.4975,0.2189,1.17678,5.22603,1.94568,0.000196109,0.000196109,0.000196109
23,184.498,1.00231,1.69943,1.46269,0.49681,1,0.995,0.30913,1.46066,5.02759,1.97768,0.00020026,0.00020026,0.00020026
24,190.626,1.19763,2.01684,1.28944,0.49681,1,0.995,0.30913,1.46066,5.02759,1.97768,0.00020394,0.00020394,0.00020394
25,197.557,0.7311,0.89879,1.32832,0.25882,1,0.33167,0.11521,1.46708,4.39683,1.63664,0.000207148,0.000207148,0.000207148
26,203.992,1.73089,2.25626,2.27022,0.25882,1,0.33167,0.11521,1.46708,4.39683,1.63664,0.000209884,0.000209884,0.000209884
27,211.482,0.99154,1.07676,1.08735,0.0068,1,0.199,0.08808,1.34819,4.01403,1.70858,0.000212149,0.000212149,0.000212149
28,217.93,0,19.7814,0,0.0068,1,0.199,0.08808,1.34819,4.01403,1.70858,0.000213943,0.000213943,0.000213943
29,227.834,0.80687,3.36084,1.66228,0.0061,1,0.12437,0.0417,1.10047,4.47886,1.58603,0.000215265,0.000215265,0.000215265
30,236.877,0.76921,1.73404,1.11929,0.0061,1,0.12437,0.0417,1.10047,4.47886,1.58603,0.000216115,0.000216115,0.000216115
31,246.58,1.07696,2.54478,1.49546,0.00538,1,0.16583,0.06081,1.22287,3.88331,2.16207,0.000216493,0.000216493,0.000216493
32,254.377,1.28125,2.43412,1.71061,0.00538,1,0.16583,0.06081,1.22287,3.88331,2.16207,0.000216401,0.000216401,0.000216401
33,262.241,1.0209,2.42341,1.49394,0.23884,1,0.24875,0.13681,1.36132,4.79392,2.65693,0.000215836,0.000215836,0.000215836
34,268.303,2.62846,3.02899,2.78853,0.23884,1,0.24875,0.13681,1.36132,4.79392,2.65693,0.0002148,0.0002148,0.0002148
35,274.288,0.82893,0.87237,1.09046,0.30893,1,0.33167,0.199,1.56346,7.89635,2.77405,0.000213293,0.000213293,0.000213293
1,23.0117,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
1,9.14706,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
2,16.3379,2.73482,4.33979,2.80627,0.00633,1,0.04975,0.02373,1.77167,5.8931,2.7879,1.40542e-05,1.40542e-05,1.40542e-05
3,22.794,1.8298,6.16402,2.25732,0.00617,1,0.11056,0.05064,1.7598,6.29454,2.72956,2.76369e-05,2.76369e-05,2.76369e-05
4,30.9241,2.2453,5.48032,2.16239,0.00581,1,0.0995,0.0426,1.69414,7.78659,2.63926,4.07479e-05,4.07479e-05,4.07479e-05
5,37.8759,2.0324,3.16768,2.46729,0.01064,1,0.03685,0.01106,1.6403,13.0935,2.54008,5.33874e-05,5.33874e-05,5.33874e-05
6,48.1369,1.51568,2.45975,1.8268,0.01064,1,0.03685,0.01106,1.60761,36.3714,2.40734,6.55554e-05,6.55554e-05,6.55554e-05
7,55.6988,1.90466,3.43195,2.07802,0.01064,1,0.03685,0.01106,1.67449,55.3817,2.26719,7.72517e-05,7.72517e-05,7.72517e-05
8,62.1258,1.79755,2.55049,1.51885,0.01064,1,0.03685,0.01106,1.32702,166.384,2.14116,8.84765e-05,8.84765e-05,8.84765e-05
9,77.5581,1.23183,3.15701,1.44191,0.01064,1,0.03685,0.01106,1.09507,145.115,2.00214,9.92298e-05,9.92298e-05,9.92298e-05
1,24.2904,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
10,91.7175,1.55873,2.43604,1.79405,0.01064,1,0.03685,0.01106,1.47226,65.631,1.94875,0.000109511,0.000109511,0.000109511
11,109.421,1.82069,1.54885,1.60464,0.01064,1,0.03685,0.01106,1.64018,35.9115,1.90393,0.000119322,0.000119322,0.000119322
12,117.133,1.1788,2.45682,1.57401,0.025,1,0.06633,0.0199,1.42327,26.0135,2.04244,0.00012866,0.00012866,0.00012866
